qntPrv,qntClss,qntSrvs,tempo
50,2,50,0.47069549560546875
50,3,1,0.4801483154296875
50,3,5,0.35445237159729004
50,3,10,0.3253135681152344
50,3,25,0.3242325782775879
50,3,50,0.6778101921081543
50,4,1,0.836449384689331
50,4,5,0.350039005279541
50,4,10,0.24114251136779785
50,4,25,0.5303037166595459
50,4,50,0.3347041606903076
50,5,1,0.7919948101043701
50,5,5,0.6617276668548584
50,5,10,0.5779860019683838
50,5,25,0.7083911895751953
50,5,50,0.698014497756958
50,6,1,0.7828466892242432
50,6,5,0.6818392276763916
50,6,10,0.5772707462310791
50,6,25,1.09220552444458
50,6,50,1.2058885097503662
50,7,1,1.004126787185669
50,7,5,0.65724778175354
50,7,10,1.0500833988189697
50,7,25,1.117682695388794
50,7,50,0.8623332977294922
50,8,1,1.0552570819854736
50,8,5,1.041991949081421
50,8,10,0.9869742393493652
50,8,25,1.080974817276001
50,8,50,1.2595109939575195
50,9,1,1.1053013801574707
50,9,5,0.8821535110473633
50,9,10,0.9857633113861084
50,9,25,1.499136209487915
50,9,50,2.0917625427246094
50,10,1,1.560119390487671
50,10,5,1.1404454708099365
50,10,10,1.1107287406921387
50,10,25,0.806422233581543
50,10,50,1.223557710647583
